Division,Club,Possession,Player,Best Pos,Sec. Position,Age,Height,Left Foot,Right Foot,Rating,PoM,Minutes,Goals,Mins/Gl,Goals per 90 minutes,xG,NP-xG,xG-OP,xG/90,Conv %,xG/shot,Shot/90,ShT/90,Shots From Outside The Box Per 90 minutes,Shot %,Goals From Outside The Box,Pens,Pen/R,Assists,Asts/90,xA,xA/90,Pas %,Ps A/90,Ch C/90,OP-KP/90,Pr passes/90,Crs A/90,Cr C/90,Cr C/A,OP-Crs A/90,OP-Crs C/90,OP-Cr %,Drb/90,Fouls Against,Off,Poss Lost/90,Poss Won/90,Tck/90,Int/90,Pres A/90,Tck R,Tck A,K Tck,Blk/90,Clr/90,Shts Blckd/90,Fouls Made,Yel,Red cards,Dist/90,Sprints/90,Recurring Injury,Injury Susceptibility,Aer A/90,Hdr %,K Hdrs/90,Clean Sheets,xGP,MLG,Sv %,Svh,Svp,Svt,Goals Conceded,Pens Faced,Pens Saved Ratio,Tgls/90,Tcon/90
First Division,Barcelona,0.61,Jules Koundé,D (R),"D (C), WB (R)",28,"5'10""",Fairly Strong,Very Strong,7.11,2,1350,1,1350,0.1,0.73,0.73,0.27,0,20%,0.146,0.3,0.1,0.1,40%,0,0,0,0,0,0.87,0.1,96%,75.2,0.1,1.3,11.5,1.7,0.3,19,1.7,0.3,19,0.7,13,2,10.1,14.8,2.3,2.7,7.8,81,43,0,0.3,0.7,0.3,21,4,0,12.2,17.3,No recurring injuries,Average,3.7,49,0.4,0,0,0,0,0,0,0,0,0,0,1.5,0.9
Premier League,West Ham,0.44,Franck Kessié,M (C),,29,"6'0""",Reasonable,Very Strong,6.91,1,1350,1,1350,0.1,1.47,1.47,-0.47,0.1,4%,0.05653846154,1.7,0.5,1.4,31%,1,0,0,1,0.1,1.08,0.1,92%,54.1,0.2,0.9,3.6,0.8,0.3,41,0.8,0.3,42,0.3,5,0,6.9,9.8,1.7,3.8,9.7,86,29,5,0.7,0.9,0.5,17,2,0,13.1,15.5,No recurring injuries,Below Average,2.2,42,0.1,0,0,0,0,0,0,0,0,0,0,1.3,0.9
Jupiler Pro League,Antwerp,0.53,Yota Maejima,D (L),WB (RL),29,"5'10""",Strong,Very Strong,6.9,1,1363,1,1363,0.1,0.24,0.24,0.76,0,33%,0.08,0.2,0.1,0,33%,0,0,0,0,0,1.08,0.1,90%,61.8,0.1,1.1,8.5,1.9,0.3,13,1.9,0.3,14,1,12,0,15,11.1,1.8,2.2,8.1,80,35,1,0.5,0.9,0.3,9,0,0,12.3,15.6,No recurring injuries,Below Average,3.1,45,0.1,0,0,0,0,0,0,0,0,0,0,1.1,1.7
Bundesliga,TSG Hoffenheim,0.53,Bazoumana Touré,AM (L),"M (L), AM (RC)",20,"5'10""",Very Strong,Weak,6.99,2,1141,1,1141,0.1,1.81,1.81,-0.81,0.1,4%,0.0724,2,0.6,1.1,28%,1,0,0,4,0.3,2.08,0.2,88%,47.2,0,2,4.5,2.7,0.3,11,2.7,0.3,12,3.2,10,6,17.5,4.6,1.5,2.4,10,76,25,0,0,0.2,0,14,1,0,11.3,15.2,No recurring injuries,Below Average,4.2,38,0.2,0,0,0,0,0,0,0,0,0,0,1.7,0.9
Bundesliga 2,Hertha BSC,0.54,Linus Gechter,D (C),D (R),22,"6'3""",Reasonable,Very Strong,7.19,1,1333,1,1333,0.1,0.76,0.76,0.24,0.1,11%,0.08444444444,0.6,0.2,0.1,33%,0,0,0,1,0.1,1.07,0.1,92%,51.2,0.1,0.4,4.3,0.4,0.2,50,0.4,0.2,50,0.2,6,0,5,18.8,2,2.9,4.7,100,29,5,0.6,1.3,0.5,6,1,0,10.5,7,No recurring injuries,High,4.2,53,0.6,0,0,0,0,0,0,0,0,0,0,1.4,0.8
Serie BKT,Pisa,0.5,Pietro Beruatto,D (L),,27,"6'1""",Very Strong,Weak,7.2,0,1260,1,1260,0.1,0.58,0.58,0.42,0,14%,0.08285714286,0.5,0.1,0,29%,0,0,0,4,0.3,1.56,0.1,74%,23.7,0,0.3,0.7,0.9,0.2,23,0.9,0.2,23,0.1,23,0,1.4,2.6,2.3,0.3,1.1,100,32,0,0,0.1,0.1,20,3,0,2,3.9,No recurring injuries,Very Low,0.6,50,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0.1
Serie A,U.S. Lecce,0.5,Youssef Maleh,M (C),"DM, M (L), AM (C)",28,"5'10""",Very Strong,Reasonable,6.56,0,1355,1,1355,0.1,2.72,2.72,-1.72,0.2,5%,0.136,1.3,0.4,0.3,30%,0,1,100,5,0.3,2.67,0.2,98%,5.9,0.2,0.5,0.4,0.3,0.1,20,0.2,0,0,0.6,8,2,12,11,0.2,0.3,1.3,100,3,0,0,0,0,7,5,0,1.6,2.3,No recurring injuries,Very Low,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9
Serie BKT,Frosinone,0.5,Riccardo Marchizza,D (L),,28,"6'2""",Very Strong,Weak,6.86,0,1260,1,1260,0.1,0.61,0.61,0.39,0,8%,0.05083333333,0.9,0.2,0,25%,0,0,0,2,0.1,2.77,0.2,74%,20,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.9,0,0,96,28,0,0,0,0,22,1,1,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Division,Las Palmas,0.49,Cristian Gutiérrez,WB (L),M/AM (L),25,"5'10""",Very Strong,Weak,7.01,1,1002,1,1002,0.1,0.42,0.42,0.58,0,20%,0.084,0.4,0.1,0.1,20%,0,0,0,2,0.2,1.6,0.1,91%,59,0.3,1.7,9.1,2.8,0.4,16,2.7,0.4,17,1.3,11,1,11.6,13.8,1.7,2.6,7,76,25,2,0.9,1.1,0.3,13,2,0,12.3,16.3,No recurring injuries,Below Average,2.9,53,0.1,0,0,0,0,0,0,0,0,0,0,1.2,0.7
Serie A,Juventus,0.5,Manuel Locatelli,DM,,28,"6'0""",Reasonable,Very Strong,7.28,3,1633,1,1633,0.1,0.45,0.45,0.55,0,20%,0.09,0.3,0.1,0.1,40%,0,0,0,7,0.4,2.44,0.1,92%,64.4,0.1,0.9,6.9,0.1,0,0,0.1,0,0,0.3,8,0,7,14.5,1.3,3,5.5,67,36,2,0.6,0.6,0.2,17,4,0,11.9,13.8,No recurring injuries,Very Low,2.4,65,0.2,0,0,0,0,0,0,0,0,0,0,1.5,0.9
Premier League,Newcastle,0.54,Sandro Tonali,"DM, M (C)",,26,"5'11""",Fairly Strong,Very Strong,6.79,0,1343,1,1343,0.1,2.12,1.35,-1.12,0.1,8%,0.1630769231,0.9,0.4,0.7,46%,0,1,100,0,0,0.8,0.1,93%,59.2,0,0.7,6.3,3.1,0.3,10,0.1,0,0,0.2,3,0,6,7.6,1.4,2.5,7.1,78,27,2,0.1,0.9,0.1,12,3,0,12.9,14.7,No recurring injuries,Below Average,1.5,43,0.1,0,0,0,0,0,0,0,0,0,0,1.8,1.1
Second Division,Leganés,0.5,Seydouba Cissé,M (C),M (R),25,"5'10""",Reasonable,Very Strong,6.49,0,1368,1,1368,0.1,2.28,2.28,-1.28,0.1,5%,0.12,1.2,0.3,0.6,26%,0,0,0,2,0.1,3.12,0.2,0%,0,0.3,0.1,0,0,0,0,0,0,0,0,9,0,15.5,11.6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,No recurring injuries,Above Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9
Serie A,Juventus,0.5,Federico Gatti,D (C),,28,"6'4""",Reasonable,Very Strong,6.86,0,1097,1,1097,0.1,0.84,0.84,0.16,0.1,8%,0.07,1,0.4,0.4,42%,1,0,0,0,0,0.35,0,95%,52.7,0.2,0,2.4,0,0,0,0,0,0,0.2,7,0,3.5,17.1,0.6,2.1,3.2,70,10,1,0.3,0.4,0.3,12,5,0,10.1,3.9,No recurring injuries,Very Low,5.9,72,1.3,0,0,0,0,0,0,0,0,0,0,1.6,0.9
Premier League,Spurs,0.55,Destiny Udogie,WB (L),,24,"6'2""",Very Strong,Weak,7.09,3,1516,1,1516,0.1,1.37,1.37,-0.37,0.1,6%,0.08058823529,1,0.3,0.4,29%,0,0,0,2,0.1,3.84,0.2,89%,57.9,0.7,2.3,5.2,10.3,2.1,20,10.3,2.1,20,3,17,2,15.9,9.7,2.1,3.6,6.2,82,44,0,0.3,1.2,0.3,10,0,0,13.4,28.5,No recurring injuries,Below Average,3.4,55,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0.7
Serie BKT,AC Monza,0.5,Alessandro Sersanti,M (C),"WB (R), DM",24,"6'0""",Weak,Very Strong,7.3,1,1260,1,1260,0.1,1.3,1.3,-0.3,0.1,7%,0.09285714286,1,0.1,0,14%,0,0,0,4,0.3,1.85,0.1,75%,20,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1.7,0,0,86,28,0,0,0,0,18,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligue 1 McDonald's,LOSC,0.57,Ngal'Ayel Mukau,DM,AM (C),22,"6'1""",Very Strong,Weak,6.91,0,1111,1,1111,0.1,0.76,0.76,0.24,0.1,11%,0.08444444444,0.7,0.2,0.5,22%,0,0,0,0,0,1.84,0.1,94%,70.3,0.4,1.4,8,0.2,0.2,100,0.2,0.2,100,0.2,6,0,4.8,11.4,1.1,1.9,6.1,59,22,1,0.5,1.2,0.2,4,0,0,12.4,13.9,No recurring injuries,Average,1.6,70,0.2,0,0,0,0,0,0,0,0,0,0,1.2,1.5
Second Division,Espanyol,0.57,Urko González,DM,,25,"6'2""",Reasonable,Very Strong,7,1,1394,1,1394,0.1,0.51,0.51,0.49,0,25%,0.1275,0.3,0.1,0,50%,0,0,0,2,0.1,3.29,0.2,93%,58.7,0.2,0.8,7.3,0,0,0,0,0,0,0.1,10,1,5.9,12.7,1,2.8,4.4,75,20,1,0.6,0.7,0.1,5,1,0,11.3,11.2,No recurring injuries,Below Average,2.9,64,0.3,0,0,0,0,0,0,0,0,0,0,1,1.2
Sky Bet Championship,Stockport,0.48,Brad Hills,D (C),,22,"6'2""",Reasonable,Very Strong,6.86,1,1917,1,1917,0,0.77,0.77,0.23,0,11%,0.08555555556,0.4,0,0.1,11%,1,0,0,1,0,0.47,0,88%,41.5,0,0.2,2.4,0,0,0,0,0,0,0,6,0,3.2,14.7,0.7,2.9,3.1,94,16,3,0.6,1.3,1.5,8,2,0,10.2,3.8,No recurring injuries,Low,5.6,74,1.2,0,0,0,0,0,0,0,0,0,0,1.2,1.7
Premier League,Arsenal,0.61,Riccardo Calafiori,D (L),,24,"6'2""",Very Strong,Reasonable,6.98,0,1277,1,1277,0.1,0.84,0.84,0.16,0.1,9%,0.07636363636,0.8,0.3,0.4,36%,0,0,0,0,0,1.19,0.1,93%,80,0.1,0.8,10.9,0.5,0.1,14,0.5,0.1,14,1.6,4,1,8.3,11.6,2.4,4.3,7.4,83,41,2,0.4,0.4,0.4,14,1,1,12.2,17.1,No recurring injuries,Above Average,4,63,0.6,0,0,1,0,0,0,0,0,0,0,2,1.1
Sky Bet Championship,Watford,0.43,Edoardo Bove,M (C),AM (C),24,"5'9""",Reasonable,Very Strong,6.86,1,1202,1,1202,0.1,0.48,0.48,0.52,0,20%,0.096,0.4,0.1,0.1,40%,0,0,0,1,0.1,2.97,0.2,92%,51.9,0.4,1.1,6,0.1,0,0,0.1,0,0,0.4,4,1,6.8,11.8,1.6,2.9,6.9,64,33,1,0.4,0.6,0.4,14,1,0,11.4,11.2,No recurring injuries,Average,2,41,0.1,0,0,0,0,0,0,0,0,0,0,1.1,1.6
Serie BKT,Cittadella,0.5,Lorenzo Milani,D (L),WB (L),25,"5'10""",Very Strong,Weak,7.34,0,1128,1,1128,0.1,0.43,0.43,0.57,0,17%,0.07166666667,0.5,0.2,0,33%,0,0,0,1,0.1,1.89,0.2,73%,22.3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2.2,0,0,93,30,0,0,0,0,15,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,Benfica,0.59,Nicolás Otamendi,D (C),,38,"6'0""",Fairly Strong,Very Strong,6.93,1,1620,1,1620,0.1,0.87,0.87,0.13,0,11%,0.09666666667,0.5,0.2,0.2,33%,0,0,0,1,0.1,0.82,0,92%,48.7,0,0.2,2.3,0.1,0.1,100,0.1,0.1,100,0,0,0,3,16.3,0.4,2.2,2.5,89,9,2,0.8,1.3,0.7,10,2,0,9.5,4.7,No recurring injuries,Low,3.7,64,0.6,0,0,0,0,0,0,0,0,0,0,1.8,0.7
Sky Bet Championship,Southampton,0.53,Yukinari Sugawara,D (R),,26,"5'10""",Reasonable,Very Strong,7.07,1,1504,1,1504,0.1,1.55,1.55,-0.55,0.1,9%,0.1409090909,0.7,0.2,0.1,27%,0,0,0,5,0.3,2.51,0.2,88%,58.9,0.2,1.5,8.6,2.1,0.3,14,1,0.2,19,0.4,12,2,13.3,14.2,1.7,3.6,7.9,74,39,3,0.5,1.1,0.2,11,1,0,11.5,16.7,No recurring injuries,Below Average,3.3,29,0.2,0,0,0,0,0,0,0,0,0,0,1.6,1.1
Ligue 2 BKT,Pau FC,0.48,Anthony Briançon,D (C),"DM, M (C)",32,"6'1""",Reasonable,Very Strong,6.88,0,1016,1,1016,0.1,0.41,0.41,0.59,0,13%,0.05125,0.7,0.3,0.1,38%,0,0,0,0,0,0.77,0.1,91%,45.4,0,0.4,2.1,0.1,0.1,100,0.1,0.1,100,0.2,4,0,4.3,16.1,0.7,3.5,3.5,89,9,2,0.4,0.7,0.4,8,1,0,10.3,4.7,No recurring injuries,Above Average,2.4,67,0.5,0,0,0,0,0,0,0,0,0,0,1.2,1.1
Serie A,Casciavit,0.5,Samuele Ricci,M (C),,25,"5'11""",Reasonable,Very Strong,6.94,1,1561,1,1561,0.1,1.35,1.35,-0.35,0.1,5%,0.07105263158,1.1,0.4,0.7,37%,0,0,0,6,0.3,3.25,0.2,94%,42.5,0.4,1,4.6,0.2,0.2,100,0.2,0.2,100,0.3,9,1,12.5,9.9,1,1.3,5.4,75,24,0,0,0.4,0.1,6,0,0,8.5,9.3,No recurring injuries,Very Low,1.8,59,0.3,0,0,0,0,0,0,0,0,0,0,1.8,1
Bundesliga 2,1. FC Saarbrücken,0.5,Emir Sahiti,AM (R),M (RL),28,"5'9""",Reasonable,Very Strong,6.89,1,1219,1,1219,0.1,1.17,1.17,-0.17,0.1,9%,0.1063636364,0.8,0.2,0.1,27%,0,0,0,2,0.1,2.18,0.2,86%,47.2,0.1,2.2,4.1,6.6,1.3,20,2.4,0.7,31,5.2,10,6,21.1,4.4,2.1,1.6,9.2,80,35,0,0.2,0.4,0,26,2,0,12.1,16.9,No recurring injuries,Above Average,3.7,24,0,0,0,0,0,0,0,0,0,0,0,0.7,1.3
Bundesliga 2,1. FC Saarbrücken,0.5,Elijah Krahn,DM,D (C),23,"6'0""",Reasonable,Very Strong,7.03,1,1050,1,1050,0.1,0.7,0.7,0.3,0.1,20%,0.14,0.4,0.1,0,20%,0,0,0,1,0.1,0.88,0.1,89%,53.6,0.1,1.5,6.7,0.1,0,0,0.1,0,0,0,6,0,7.5,9.5,0.5,2.6,5.9,75,8,0,0.8,1.8,0,2,0,0,11.6,11.8,No recurring injuries,Above Average,1.5,83,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1.4
Premier League,Crystal Palace,0.49,Adam Wharton,DM,,22,"6'0""",Very Strong,Strong,7.06,0,1260,1,1260,0.1,0.96,0.96,0.04,0.1,6%,0.05333333333,1.3,0.5,0.9,39%,1,0,0,1,0.1,1.36,0.1,91%,93.6,0.1,1.6,10.1,2.9,0.4,15,0.4,0.2,50,0.2,4,0,10.9,8.9,2.3,3.7,10.8,74,43,4,0.6,1.9,0.5,4,1,0,13.5,13.9,Recurring tight thigh,Very High,1.7,71,0.1,0,0,1,0,0,0,0,0,0,0,0.8,1.4
Serie BKT,Venezia,0.5,Alfred Duncan,M (C),DM,33,"5'10""",Very Strong,Reasonable,7.38,0,1170,1,1170,0.1,1.93,1.93,-0.93,0.1,11%,0.2144444444,0.7,0.2,0,22%,0,0,0,2,0.2,1.32,0.1,68%,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2.2,0,0,74,38,0,0,0,0,11,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serie BKT,Südtirol,0.5,Mamadou Coulibaly,DM,,27,"6'0""",Weak,Very Strong,7.68,0,1260,1,1260,0.1,0.37,0.37,0.63,0,33%,0.1233333333,0.2,0.1,0,33%,0,0,0,3,0.2,0.93,0.1,71%,20,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2.3,0,0,84,38,0,0,0,0,23,3,1,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bundesliga,Bayer 04 Leverkusen,0.60,Edmond Tapsoba,D (C),,27,"6'4""",Reasonable,Very Strong,7.03,0,1398,1,1398,0.1,1.19,0.42,-0.19,0.1,33%,0.3966666667,0.2,0.1,0,67%,0,1,100,3,0.2,0.74,0,93%,58.4,0.1,0.3,2.9,0.1,0,0,0.1,0,0,0,5,1,2.8,19.1,0.5,2.3,3.2,73,11,1,0.3,0.8,0.7,11,3,0,9.9,3.7,No recurring injuries,Below Average,5.7,76,1.1,0,0,0,0,0,0,0,0,0,0,1.7,0.8
Premier League,Bournemouth,0.44,Marcos Senesi,D (C),,29,"6'0""",Very Strong,Reasonable,6.69,0,1260,1,1260,0.1,0.21,0.21,0.79,0,50%,0.105,0.1,0.1,0,50%,0,0,0,0,0,0,0,92%,39.4,0,0.1,2.4,0,0,0,0,0,0,0,0,0,3.9,8.9,0.6,2.4,1.4,57,14,3,0.7,0.8,0.6,7,1,0,10,4.4,No recurring injuries,Below Average,7.3,68,2.1,0,0,0,0,0,0,0,0,0,0,1.6,2.1
Jupiler Pro League,OH Leuven,0.47,Youssef Maziz,AM (C),"M (C), AM (L)",28,"5'9""",Weak,Very Strong,6.87,0,1053,1,1053,0.1,1.85,1.85,-0.85,0.2,4%,0.08043478261,2,0.9,0.3,43%,0,0,0,2,0.2,2.56,0.2,89%,41.3,0.4,2.2,2.9,0.9,0.2,20,0.9,0.2,20,1.1,7,2,20.2,10.8,0.6,1.7,5.8,78,9,0,0.3,0.3,0,7,1,0,11.9,9.5,No recurring injuries,Above Average,2.9,21,0,0,0,0,0,0,0,0,0,0,0,0.9,1.1
Serie A,Sampdoria,0.5,Salvatore Esposito,DM,,26,"5'10""",Reasonable,Very Strong,6.97,2,1620,1,1620,0.1,0.76,0.76,0.24,0,17%,0.1266666667,0.3,0.1,0.1,33%,0,1,100,0,0,3.15,0.2,92%,51.6,0.4,0.9,5.1,4.9,0.7,14,0.2,0.1,25,0,14,0,5.1,10.3,1.3,2.9,4.9,72,32,2,0.6,0.9,0.3,7,2,0,10,9.5,No recurring injuries,Very Low,0.5,33,0.1,0,0,0,0,0,0,0,0,0,0,0.7,1.6
Serie A,Empoli FC,0.5,Nahuel Estévez,"DM, M (C)",AM (R),31,"5'11""",Weak,Very Strong,6.67,0,1111,1,1111,0.1,1.45,1.45,-0.45,0.1,8%,0.1115384615,1.1,0.6,0.5,54%,0,0,0,2,0.2,1.38,0.1,82%,12.2,0.1,0.3,0.6,0.6,0,0,0.6,0,0,0.3,13,2,12.6,8.3,0.8,0.2,1.6,91,11,0,0,0,0,6,1,0,2,3,No recurring injuries,Very Low,1.1,43,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1.1
Eredivisie,Ajax,0.60,Jorthy Mokio,DM,"D (L), M (C)",18,"6'0""",Very Strong,Reasonable,7.01,1,1799,1,1799,0.1,1.4,1.4,-0.4,0.1,5%,0.07,1,0.2,0.4,20%,1,0,0,2,0.1,2.64,0.1,93%,55.4,0.3,0.9,6,0.1,0,0,0.1,0,0,0.2,3,2,5.8,15.5,1.4,2.2,5.6,78,36,1,0.3,0.5,0.2,12,2,0,11.4,11.3,No recurring injuries,Below Average,2.4,31,0.2,0,0,0,0,0,0,0,0,0,0,1.7,0.9
Ligue 1 McDonald's,Troyes,0.55,Paolo Gozzi,D (L),,25,"6'0""",Very Strong,Weak,6.79,1,1260,1,1260,0.1,1.02,1.02,-0.02,0.1,20%,0.204,0.4,0.2,0.1,60%,0,0,0,2,0.1,1.25,0.1,92%,43.2,0.1,0.4,1.6,0.1,0,0,0.1,0,0,0.1,4,0,2.4,16.9,0.6,2.4,2.6,90,10,2,0.6,1.1,1.1,8,2,0,10.1,3.8,No recurring injuries,Below Average,3.5,51,0.5,0,0,0,0,0,0,0,0,0,0,1.2,1.4
First Division,Valencia,0.49,Mouctar Diakhaby,D (C),DM,29,"6'2""",Weak,Very Strong,6.85,1,1350,1,1350,0.1,0.37,0.37,0.63,0,25%,0.0925,0.3,0.1,0.1,50%,0,0,0,0,0,0.46,0,93%,52.4,0.1,0.1,1.8,0,0,0,0,0,0,0,2,0,2.7,13.6,0.5,3.1,2.4,100,7,1,0.8,0.6,1.1,4,2,0,10.1,5,No recurring injuries,High,5.4,69,0.7,0,0,0,0,0,0,0,0,0,0,1.1,1.2
Serie BKT,Juve Stabia,0.5,Marco Varnier,D (C),,28,"6'2""",Reasonable,Very Strong,6.82,0,1260,1,1260,0.1,0.53,0.53,0.47,0,13%,0.06625,0.6,0.1,0,13%,0,0,0,3,0.2,0,0,69%,20,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1.4,0,0,95,20,0,0,0,0,23,1,2,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky Bet Championship,Blackburn,0.52,Connor O'Riordan,D (C),,23,"6'4""",Reasonable,Very Strong,6.95,1,1710,1,1710,0.1,0.22,0.22,0.78,0,25%,0.055,0.2,0.2,0.1,75%,0,0,0,1,0.1,0.36,0,94%,43.4,0.1,0.2,1.8,0.2,0.1,50,0.2,0.1,50,0.1,5,0,2,16.3,0.7,3.1,2.8,81,16,4,0.7,1.5,0.2,6,1,0,10.2,4,No recurring injuries,Low,5.6,72,0.9,0,0,0,0,0,0,0,0,0,0,1.2,1.3
Premier League,FC Porto,0.57,Alberto Costa,WB (R),M (R),23,"6'1""",Fairly Strong,Very Strong,6.98,2,1530,1,1530,0.1,2.14,2.14,-1.14,0.1,5%,0.107,1.2,0.4,0.5,35%,0,0,0,3,0.2,3.22,0.2,90%,71.5,0.2,1.1,10.5,1.1,0.5,42,1.1,0.5,42,1.1,12,1,10.7,12.4,1.2,3.4,7,58,36,3,0.6,0.9,0.5,19,4,0,12,17.7,No recurring injuries,Low,3.2,69,0.2,0,0,0,0,0,0,0,0,0,0,1.8,0.7
Serie BKT,Cesena FC,0.5,Simone Bastoni,M (C),"DM, M (L), AM (C)",30,"6'0""",Very Strong,Weak,7.8,0,1170,1,1170,0.1,2.86,2.86,-1.86,0.2,4%,0.11,2,1.1,0,54%,0,0,0,6,0.5,1.12,0.1,74%,20,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1.4,0,0,82,22,0,0,0,0,20,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligue 1 McDonald's,Olympique de Marseille,0.54,Timothy Weah,M (R),AM (L),26,"6'0""",Reasonable,Very Strong,6.81,0,1057,1,1057,0.1,1.29,1.29,-0.29,0.1,8%,0.09923076923,1.1,0.9,0.4,77%,0,0,0,1,0.1,1.08,0.1,89%,54.9,0.1,1,5.2,4.3,0.9,19,4.3,0.9,20,4.2,17,2,17.5,8.9,2.2,3.4,11.9,87,30,0,0.5,0.7,0.2,12,2,1,12.6,23.2,No recurring injuries,Average,3.2,57,0.2,0,0,0,0,0,0,0,0,0,0,1.1,1.1
Serie BKT,AC Monza,0.5,Patrick Ciurria,WB/M (R),"D (R), WB (L), AM (R)",31,"5'11""",Very Strong,Reasonable,6.99,0,1260,1,1260,0.1,1.58,1.58,-0.58,0.1,7%,0.1128571429,1,0.2,0,21%,0,0,0,0,0,0.95,0.1,72%,20,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1.6,0,0,96,24,0,0,0,0,17,1,1,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serie A,Sampdoria,0.5,Gennaro Tutino,AM (L),AM (RC),30,"5'10""",Weak,Very Strong,6.8,1,1544,1,1544,0.1,3.44,3.44,-2.44,0.2,3%,0.09828571429,2,0.6,0.4,31%,0,0,0,3,0.2,1.91,0.1,84%,32.1,0.1,1.2,1.7,0.2,0,0,0.2,0,0,1.2,23,6,20.7,3.9,0.1,1.2,2.4,100,2,1,0.2,0.4,0,10,0,0,9.8,6.9,No recurring injuries,Very Low,4.2,19,0.1,0,0,0,0,0,0,0,0,0,0,0.7,1.5
Serie BKT,Padova,0.5,Antonio Barreca,D (L),M (L),31,"6'0""",Very Strong,Weak,7.06,0,1260,1,1260,0.1,1.05,1.05,-0.05,0.1,7%,0.07,1.1,0.1,0,13%,0,0,0,2,0.1,1.77,0.1,68%,20,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1.9,0,0,100,27,0,0,0,0,14,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligue 2 BKT,FC Annecy,0.43,Nolan Binet,DM,DM,22,"5'11""",Weak,Very Strong,6.46,0,1313,1,1313,0.1,0.39,0.39,0.61,0,8%,0.03,0.9,0.2,0.6,23%,2,0,0,1,0.1,1.62,0.1,0%,0,0.3,0.1,0,0,0,0,0,0,0,0,9,0,15.6,11.6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,No recurring injuries,Below Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.2
Bundesliga,RB Leipzig,0.52,Nicolas Seiwald,"DM, M (C)",,25,"5'11""",Reasonable,Very Strong,6.81,1,1495,1,1495,0.1,0.55,0.55,0.45,0,11%,0.06111111111,0.5,0.2,0.3,33%,2,0,0,3,0.2,1.98,0.1,92%,57,0.4,0.4,4.6,0.9,0.3,33,0.1,0.1,100,0.2,8,0,6.9,12.2,0.7,2.1,7,55,22,0,0.7,0.5,0.4,15,3,0,11.7,12.6,No recurring injuries,Low,1.5,64,0.1,0,0,0,0,0,0,0,0,0,0,1.7,0.8
Ligue 2 BKT,Laval MFC,0.43,Sam Sanna,M (C),"WB (R), DM",27,"5'7""",Weak,Very Strong,6.74,1,1440,1,1440,0.1,0.98,0.98,0.02,0.1,8%,0.07538461538,0.8,0.2,0.2,31%,0,0,0,1,0.1,1.6,0.1,90%,46.9,0.5,1.1,5.3,1.9,0.1,6,1.5,0.1,8,1.3,13,0,12.1,12,1.1,2.7,6.2,69,26,1,0.6,0.7,0.2,10,2,0,12.1,15.8,No recurring injuries,Above Average,1.9,42,0.1,0,0,0,0,0,0,0,0,0,0,0.4,1.4
Second Division,Valladolid,0.54,Kennedy Boateng,D (C),,30,"6'3""",Weak,Very Strong,6.79,1,1448,1,1448,0.1,2.14,2.14,-1.14,0.1,8%,0.1646153846,0.8,0.2,0.2,31%,0,0,0,0,0,1.12,0.1,86%,41.8,0.1,0.1,1.2,0,0,0,0,0,0,0.1,6,0,2.7,18.7,0.3,2.7,3.1,83,6,1,0.9,1.2,0.2,3,1,0,10.2,4.2,No recurring injuries,Average,5.2,82,1.1,0,0,2,0,0,0,0,0,0,0,1.4,1.3
