Division,Club,Possession,Player,Best Pos,Sec. Position,Age,Height,Left Foot,Right Foot,Rating,PoM,Minutes,Goals,Mins/Gl,Goals per 90 minutes,xG,NP-xG,xG-OP,xG/90,Conv %,xG/shot,Shot/90,ShT/90,Shots From Outside The Box Per 90 minutes,Shot %,Goals From Outside The Box,Pens,Pen/R,Assists,Asts/90,xA,xA/90,Pas %,Ps A/90,Ch C/90,OP-KP/90,Pr passes/90,Crs A/90,Cr C/90,Cr C/A,OP-Crs A/90,OP-Crs C/90,OP-Cr %,Drb/90,Fouls Against,Off,Poss Lost/90,Poss Won/90,Tck/90,Int/90,Pres A/90,Tck R,Tck A,K Tck,Blk/90,Clr/90,Shts Blckd/90,Fouls Made,Yel,Red cards,Dist/90,Sprints/90,Recurring Injury,Injury Susceptibility,Aer A/90,Hdr %,K Hdrs/90,Clean Sheets,xGP,MLG,Sv %,Svh,Svp,Svt,Goals Conceded,Pens Faced,Pens Saved Ratio,Tgls/90,Tcon/90
Jupiler Pro League,RSC Anderlecht,0.58,Keisuke Goto,ST (C),,21,"6'3""",Weak,Very Strong,6.93,3,2079,9,231,0.4,10.78,9.97,-1.78,0.5,12%,0.1382051282,3.4,1.3,0.8,40%,0,3,67,3,0.1,1.44,0.1,91%,28.5,0.2,0.9,0.6,0.1,0,0,0.1,0,0,0.7,34,24,17.1,2.4,0.1,0.7,1.4,50,4,1,0.2,0.2,0,26,2,0,9.9,6.2,No recurring injuries,Below Average,8,50,0,0,0,0,0,0,0,0,0,0,0,1.5,1
First Division,R. Madrid,0.59,Jude Bellingham,M (C),"M (L), AM (C)",23,"6'1""",Fairly Strong,Very Strong,7.11,0,1566,9,174,0.5,5.5,5.5,3.5,0.3,16%,0.09649122807,3.3,1.6,1.7,47%,2,0,0,7,0.4,6.73,0.4,88%,14.1,0.9,1.3,1.4,0.5,0.3,62,0.5,0.3,63,0.7,11,2,7.5,14,0.1,0.4,0.7,100,1,0,0.1,0,0,4,2,0,3.5,2.5,No recurring injuries,High,0.9,31,0,0,0,0,0,0,0,0,0,0,0,2.8,0.8
Ligue 1 McDonald's,Brest,0.51,Ludovic Ajorque,ST (C),,32,"6'5""",Very Strong,Reasonable,7.03,2,1455,9,161.6666667,0.6,6.13,6.13,2.87,0.4,18%,0.1251020408,3,1.1,0.7,37%,0,2,100,0,0,0.85,0.1,89%,29.4,0.4,1.1,0.7,0.5,0.1,12,0.5,0.1,13,0.6,28,16,11.4,2.2,0.2,0.4,1.3,100,3,0,0,0.1,0,19,0,0,10.5,5.6,No recurring injuries,Average,9.4,53,0.2,0,0,0,0,0,0,0,0,0,0,1.2,1.2
Serie A,Casciavit,0.5,Christian Pulisic,AM (R),AM (L),28,"5'10""",Fairly Strong,Very Strong,7.26,3,1361,9,151.2222222,0.6,6.57,6.57,2.43,0.4,14%,0.1042857143,4.2,2.3,1.7,56%,1,2,100,3,0.2,2.31,0.2,90%,35,0.2,1.4,2,5.2,1.3,24,0.5,0.2,43,0.9,23,9,13.7,2.9,0.5,1.2,1.9,88,8,0,0.1,0.5,0.1,7,0,0,10.7,8.3,No recurring injuries,Very Low,3.8,29,0.1,0,0,0,0,0,0,0,0,0,0,1.9,1.1
Sky Bet Championship,Burnley,0.53,Zeki Amdouni,"AM (C), ST (C)",AM (L),25,"6'1""",Strong,Very Strong,6.94,3,1448,9,160.8888889,0.6,8.23,8.23,0.77,0.5,15%,0.1327419355,3.9,2.1,1.4,53%,2,2,100,3,0.2,2.47,0.2,91%,25.1,0.1,1.1,0.9,0.2,0.1,50,0.2,0.1,50,1,48,13,18.4,1.9,0,0.9,0.9,0,0,0,0.2,0.2,0,13,1,0,10.8,6.2,No recurring injuries,Above Average,8.7,34,0,0,0,0,0,0,0,0,0,0,0,1.5,0.8
Premier League,Brentford,0.38,Gonzalo,ST (C),"M (R), AM (L)",22,"6'0""",Fairly Strong,Very Strong,6.89,2,1555,9,172.7777778,0.5,7.26,7.26,1.74,0.4,20%,0.1613333333,2.6,1.3,0.7,49%,1,0,0,2,0.1,1.69,0.1,90%,31,0.3,1,1.9,1.1,0.2,15,1.1,0.2,16,0.6,15,15,7.6,3,0.7,1,3.5,86,14,1,0.2,0.2,0.1,23,1,0,11.8,8.9,No recurring injuries,Average,6.8,37,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6
First Division,R. Madrid,0.59,Vinícius Júnior,AM (L),ST (C),26,"5'9""",Fairly Strong,Very Strong,7.62,0,1697,9,188.5555556,0.5,9.94,9.94,-0.94,0.5,11%,0.1212195122,4.3,2.2,1.4,51%,3,0,0,7,0.4,4.47,0.2,91%,29.8,0.8,1.4,1.4,0.7,0.4,61,0.7,0.4,62,1.9,32,12,7.6,3.2,0.3,1,2.9,63,8,0,0.1,0.2,0,15,0,0,10.8,6.2,No recurring injuries,Below Average,4.4,19,0.1,0,0,0,0,0,0,0,0,0,0,3,0.9
Premier League,Sporting CP,0.62,Luis Suárez,ST (C),,28,"5'11""",Fairly Strong,Very Strong,7.39,2,1403,9,155.8888889,0.6,7.38,7.38,1.62,0.5,13%,0.1069565217,4.4,2.1,1.5,46%,1,0,0,4,0.3,2.6,0.2,89%,29.8,0.5,1.1,0.8,0.4,0.1,33,0.4,0.1,33,0.8,31,15,12.6,2.8,0.3,0.7,1.8,100,5,0,0.3,0.1,0,14,1,0,10.5,6.8,No recurring injuries,Below Average,6.1,33,0,0,0,0,0,0,0,0,0,0,0,2.1,0.6
Jupiler Pro League,KV Kortrijk,0.57,Thierry Ambrose,ST (C),AM (R),29,"5'10""",Weak,Very Strong,6.85,0,1366,9,151.7777778,0.6,7.48,5.86,1.52,0.5,17%,0.1438461538,3.4,1.7,1.1,50%,1,2,0,1,0.1,2.22,0.1,88%,23.8,0.3,1.5,1.1,0.3,0.1,20,0.3,0.1,20,0.7,31,9,15.2,3.3,0.1,0.7,1.6,33,6,0,0,0.2,0,10,0,0,10.1,4.9,Recurring partially torn ankle ligaments,Very High,9,34,0.1,0,0,0,0,0,0,0,0,0,0,1.4,1.1
Sky Bet Championship,Sheffield United,0.52,Tom Cannon,ST (C),,23,"5'11""",Weak,Very Strong,6.79,0,1593,9,177,0.5,7.15,4.72,1.85,0.4,20%,0.1625,2.5,1.4,0.7,55%,1,4,25,1,0.1,0.75,0,87%,27.1,0.1,1.1,1.1,0.6,0.3,60,0.6,0.3,60,0.4,33,15,17.3,2.5,0.1,0.5,1.8,50,4,0,0.1,0,0,17,1,0,10.2,6.3,No recurring injuries,Below Average,7.1,23,0.2,0,0,0,0,0,0,0,0,0,0,1.5,1.4
